3Ltr,Company,Country,Telephony,FriendlyName
ANJ,ALLEGIANCE AIR (PTY) LTD,SOUTH AFRICA,AIR ALLEGIANCE,Allegiance Air
ANK,AERO NOMAD AIRLINES LLC,KYRGYZSTAN,AERO NOMAD,Aero Nomad Airlines
ANL,NACOIA LDA,ANGOLA,AIR NACOIA,Air Nacoia
ANM,"AEROTRANSPORTACION DE NORTEAMERICA, S.A. DE C.V.",MEXICO,NORAM,Aerotransportacion de Norteamerica
ANO,"CAPITEQ LIMITED, TRADING AS AIR NORTH REGIONAL",AUSTRALIA,TOPEND,Airnorth
ANP,AIR NIGERIA DEVELOPMENT LIMITED,NIGERIA,NICON FLIERS,Air Nigeria Development Limited
ANQ,AEROLINEA DE ANTIOQUIA S.A. (ADA),COLOMBIA,ANTIOQUIA,Aerolinea de Antioquia
ANR,"YANAIR, AVIACOMPANY LTD",UKRAINE,YANAIR,YanAir
ANS,"ANDES LINEAS AEREAS, S.A.",ARGENTINA,AEROANDES,Andes Lineas Aereas
ANT,AIR NORTH CHARTER,CANADA,AIR NORTH,Air North Charter
ANU,ANDALUS,SPAIN,ANDALUS,Andalus
ANV,NESTOIL LIMITED,NIGERIA,NESTAV,Nestoil Limited
ANW,FLY ME (PTY) LTD,SOUTH AFRICA,ANGEL WINGS,Fly Me
ANX,SECRETARIA DE MARINA,MEXICO,SECRETARIA DEMARINA,Mexican Navy
ANZ,AIR NEW ZEALAND LTD,NEW ZEALAND,NEW ZEALAND,Air New Zealand
AOA,AIR OCEAN AIRLINES LLC,UKRAINE,AIR OCEAN,Air Ocean Airlines
AOB,"AEROCARIBE CORO, C.A.",VENEZUELA,CARIBE CORO,Aerocaribe Coro
AOC,TITANFLY INTERNATIONAL,SAN MARINO,ARAMIS,Titanfly International
AOD,AERO VODOCHODY,CZECHIA,AERO CZECH,Aero Vodochody
AOF,ATAIR PTY LTD,SOUTH AFRICA,ATAIR,Atair
AOJ,AVCON JET AG,AUSTRIA,ASTERIX,Avcon Jet
AOK,AIRCRAFT AVIATION SERVICES,PAKISTAN,,Aircraft Aviation Services
AOM,AIR OCEAN MAROC,MOROCCO,OCEAN MAROC,Air Ocean Maroc
AON,AERO ENTREPRISE,FRANCE,AERO ENTREPRISE,Aero Entreprise
AOO,TREBET AVIATION LTD,NIGERIA,TREBET AVIATION,Trebet Aviation
AOR,AFRO INTERNATIONAL ENT. LIMITED,NIGERIA,INTER-AFRO,Afro International
AOS,AEROS LTD (T/A AEROS FLIGHT TRAINING),UNITED KINGDOM,AEROS,Aeros Flight Training
AOU,AIR TRACTOR D.O.O.,CROATIA,AIR TRACTOR,Air Tractor
AOV,AERO VISION,FRANCE,AEROVISION,Aero Vision
APA,"APOYO LOGISTICO AEREO, S.A. DE C.V.",MEXICO,APOYO LOG,Apoyo Logistico Aereo
APB,"TRATAMIENTOS AGRICOLAS AEREOS PERAN, S.L.",SPAIN,,Tratamientos Agricolas Aereos Peran
APC,"AIRPAC (SEATTLE, WA)",UNITED STATES,AIRPAC,AIRPAC Airlines
APD,AVIATIONERS PAKISTAN,PAKISTAN,,Aviationers Pakistan
APE,"PARCEL EXPRESS (DENVER, CO)",UNITED STATES,AIR PARCEL,Parcel Express
APF,AMAPOLA FLYG AB,SWEDEN,AMAPOLA,populAir
APG,PHILIPPINES AIRASIA INC.,PHILIPPINES,COOL RED,Philippines AirAsia
APH,"ALPHA AVIATION, INC. (DALLAS, TX)",UNITED STATES,AIRFLIGHT,Alpha Aviation
API,"ASA PESADA, LDA.",ANGOLA,ASA PESADA,ASA Pesada
APJ,PEACH AVIATION LIMITED,JAPAN,AIR PEACH,Peach Aviation
APK,AIR PEACE LIMITED,NIGERIA,PEACE BIRD,Air Peace
APL,"CORPORATIVO AEREO PRINCIPAL, S.A. DE C.V.",MEXICO,AEREO PRINCIPAL,Corporativo Aereo Principal
APM,AEROPOLE OY,FINLAND,RED FINN,Aeropole
APN,ALPINE AIRLINES,FRANCE,AIR ALPES,Alpine Airlines
APP,ALPAVIA D.O.O.,SLOVENIA,ALPAVIA,AlpAvia
APR,"AEROLINEAS PRIMORDIALES, S A DE C.V.",MEXICO,PRIMORDIALES,Aerolineas Primordiales
APS,"AEROPARADISE, S.A. DE C.V.",MEXICO,AEROPARADISE,Aeroparadise
APU,TRANSPORTE AEREO EXPRESO MOCHE S.A.C.,PERU,APUKA,Transporte Aereo Expreso Moche
APV,AIR PHILIP,REPUBLIC OF KOREA,PHILIP AIR,Air Philip
APW,"ALPHA THREE AVIATION, INC",UNITED STATES,TRIPLE ACE,Alpha Three Aviation
APX,NALJETS LTD,UNITED KINGDOM,APEX,Naljets
APY,"AEROPAPA, S.L.",SPAIN,,Aeropapa
APZ,AIR PREMIA,REPUBLIC OF KOREA,AIR PREMIA,Air Premia
AQA,AEROATLAS S.A.,COLOMBIA,ATCO,Aeroatlas
AQL,ALTAIR AIRLINES,KAZAKHSTAN,ALTACARGO,Altair Airlines
AQQ,APSARA INTERNATIONAL AIR,CAMBODIA,APSARA,Apsara International Air
AQS,AIRSTREAM,CZECHIA,AIRSTREAM,Airstream
AQU,AIRQUARIUS AVIATION,SOUTH AFRICA,QUARIUS,Airquarius Aviation
ARA,ARIK AIR LTD,NIGERIA,ARIK AIR,Arik Air
ARB,AIRBAHN,UNITED STATES,AIRBAHN,Airbahn
ARC,AIR ROUTING INTERNATIONAL LP,UNITED STATES,,Air Routing International
ARD,"AEROANDINAS, C.A.",VENEZUELA,CORDILLERAS,Aeroandinas
ARE,AIRES S.A. (AEROVIAS DE INTEGRACION REGIONAL S.A.) D/B/A LAN COLOMBIA AIRLINES S.A. D/B/A LAN COLOMBIA AIRLINES,COLOMBIA,LAN COLOMBIA,LATAM Colombia
ARF,ANIMAL RESCUE FLIGHTS,UNITED STATES,ANIMAL FLIGHTS,Animal Rescue Flights
ARG,AEROLINEAS ARGENTINAS,ARGENTINA,ARGENTINA,Aerolineas Argentinas
ARH,"AEROHELICOPTEROS, C.A.",VENEZUELA,AEROHELCA,Aerohelicopteros
ARI,"AERO VICS, S.A. DE C.V.",MEXICO,AEROVICS,Aerovics
ARK,AERO LINK AIR SERVICES S.L.,SPAIN,LINK SERVICE,Aero Link Air Services
ARL,AIRLEC AIR ESPACE,FRANCE,AIRLEC,Airlec Air
ARM,MEGAVIATION,REPUBLIC OF MOLDOVA,SUNSKY,Megaviation
ARN,AERONEXUS CORPORATE PTY LTD,SOUTH AFRICA,AERONEX,Aeronexus Corporate
ARO,"ACERO TAXI, S.A. DE C.V.",MEXICO,ACERO,Acero Taxi
ARP,AERO CORPORATE,COTE D'IVOIRE,IVORYCORP,Aero Corporate
ARQ,AIRCO AIRCRAFT CHARTERS LTD,CANADA,AIRCO,Airco Aircraft Charters
ARR,AVALAIR AIRCRAFT MANAGEMENT LLC,UNITED STATES,AVALAIR,Avalair Aircraft Management
ARS,AEROMET SERVICIOS LTDA.,CHILE,METSERVICE,Aeromet Servicios
ART,SMART LYNX AIRLINES LTD,LATVIA,SMART LYNX,Smartlynx Airlines
ARU,ARUBA AIRLINES,NETHERLANDS,ARUBA,Aruba Airlines
ARV,ARAVCO LTD.,UNITED KINGDOM,ARAVCO,Aravco
ARW,AIRWAYS INTERNATIONAL LIMITED,JAMAICA,JAMAICA SHUTTLE,Airways International Limited
ARX,"AIR XPRESS, INC, (GREENSBORO, NC)",UNITED STATES,AIREX,Air Xpress
ARY,ATC CJSC,ARMENIA,YERAZ,ATC
ARZ,AIRBORNE IMAGING,UNITED STATES,AIRBORNE,Airborne Imaging
ASA,ALASKA AIRLINES INC.,UNITED STATES,ALASKA,Alaska Airlines
ASB,AIR-SPRAY 1967 LTD.,CANADA,AIR SPRAY,Air Spray 1967
ASC,AIR SERVICE MANAGEMENT,SPAIN,,Air Service Management
ASD,AIR SPHINX,EGYPT,AIR SPHINX,Air Sinai
ASE,"SERVICIOS DE AVIACION ASERTEC, S.A. DE C.V.",MEXICO,ASERTEC,Servicios de Aviacion Asertec
ASF,AUSTRIAN AIR FORCE,AUSTRIA,AUSTRIAN AIRFORCE,Austrian Air Force
ASG,AIR SPEED CHARTER (PVT) LTD,PAKISTAN,,Air Speed Charter
ASH,"MESA AVIATION SERVICES, INC. (FARMINGTON, NM)",UNITED STATES,AIR SHUTTLE,Mesa Airlines
ASI,"AEROGUARD FLIGHT TRAINING CENTER (PHOENIX, AZ)",UNITED STATES,AEROSUN,AeroGuard Flight Training Center
ASJ,ASTONJET,FRANCE,ASTONJET,Astonjet
ASK,AERO SKY S.L.,SPAIN,MULTISKY,Aerosky
ASL,AIR SERBIA,SERBIA,AIR SERBIA,AirSERBIA
ASM,AWESOME FLIGHT SERVICES (PTY) LTD,SOUTH AFRICA,AWESOME,Awesome Flight Services
ASN,RS SERVICIOS DE TELEDETECCION,SPAIN,AIRSENSING,RS Servicios de Teledeteccion
ASO,AEROSUL TAXI AEREO LTDA,BRAZIL,AEROSUL,Aerosul Taxi Aereo
ASP,AIRSPRINT INC.,CANADA,AIRSPRINT,AirSprint
ASQ,EXPRESSJET AIRLINES,UNITED STATES,ACEY,Expressjet Airlines
ASR,AERO SOTRAVIA,FRANCE,SOTRAVIA,Aero Sotravia
AST,THAI SUMMER AIRWAYS COMPANY LIMITED,THAILAND,THAI SUMMER,Thai Summer Airways Company Limited
ASV,AIR SEOUL,REPUBLIC OF KOREA,AIR SEOUL,Air Seoul
ASW,ASIA AIRWAYS,TAJIKISTAN,ASIAWAYS,Asia Airways
ASX,AIR SPECIAL,CZECHIA,AIRSPEC,Air Special
ASY,ROYAL AUSTRALIAN AIR FORCE,AUSTRALIA,AUSSIE,Royal Australian Air Force
ASZ,"ASCENSION AIR MANAGEMENT, INC. (ATLANTA, GA)",UNITED STATES,ASCENSION,Ascension Air Management
ATA,"AIR TRANSPORT ASSOCIATION OF AMERICA (WASHINGTON, DC)",UNITED STATES,,Air Transport Association
ATB,AIRLINE TRANSPORT INCORPORATION,BURUNDI,TRANS-BURUNDI,Airline Transport Incorporation
ATC,AIR TANZANIA,UNITED REPUBLIC OF TANZANIA,TANZANIA,Air Tanzania
ATD,REAL AEROCLUB DE TOLEDO,SPAIN,,Real Aeroclub de Toledo
ATE,ALATHEER AVIATION,SAUDI ARABIA,,Alatheer Aviation
ATF,COMPANIA AEROTECNICAS FOTOGRAFICAS,SPAIN,AEROTECNICAS,Compania Aerotecnicas Fotograficas
ATG,AEROTRANSCARGO,REPUBLIC OF MOLDOVA,MOLDCARGO,Aerotranscargo
ATH,AIRCRAFT SYSTEMS SOUTH AFRICA,SOUTH AFRICA,GLOBESTAR,Aircraft Systems South Africa
ATI,ART AVIA,RUSSIAN FEDERATION,ART AVIA,ART Avia
ATK,AEROTAXI CASANARE LTDA.,COLOMBIA,AEROTACA,Aerotaxi Casanare
ATL,"ATLAS AIR SERVICE AG, GANDERKESEE",GERMANY,AIR BREMEN,Atlas Air Service AG
ATM,AIRLINES OF TASMANIA T/A PAR AVION,AUSTRALIA,AIRTAS,Par Avion
ATN,"AIR TRANSPORT INTERNATIONAL (LITTLE ROCK, AR)",UNITED STATES,AIR TRANSPORT,Air Transport International
ATO,ATM INFOMATION SERVICE JAPAN,JAPAN,,ATM Information Service Japan
ATP,"SERVICIOS AEREOS DEL ALTIPLANO, S.A. DE C.V.",MEXICO,ALTIPLANO,Servicios Aereos del Altiplano
ATQ,CHC HELICOPTERS NIGERIA LIMITED,NIGERIA,COLIBRI,CHC Helicopters Nigeria
ATR,ATRAK AIRLINES,IRAN (ISLAMIC REPUBLIC OF),ATRAK AIR,Atrak Airlines
ATS,ATLAS KHOMEIN KISH,IRAN (ISLAMIC REPUBLIC OF),AIR ATLAS,Atsa Airlines
ATT,AIR TASHKENT,UZBEKISTAN,HANN,Air Tashkent
ATU,AEROTOURS,GERMANY,BERLIN SKY,Aerotours
ATV,"AVANTI AIR GMBH & CO. KG, BURBACH",GERMANY,AVANTI AIR,Avanti Air
ATW,AIR ANTWERP,BELGIUM,DEVIL,Air Antwerp
ATX,AIRSWIFT TRANSPORT INC.,PHILIPPINES,AIRSWIFT,AirSWIFT
ATY,AIRTRAFFIC LIMITED,KENYA,AIRCARE,AirTraffic
ATZ,ACE AIR,REPUBLIC OF KOREA,ACE TAXI,Ace Air
AUA,AUSTRIAN AIRLINES (AUA) AG,AUSTRIA,AUSTRIAN,Austrian Airlines
AUD,"TRANS NORTHERN AIRWAYS, LLC",UNITED STATES,GENIE,Air Unlimited
AUE,UNIVERSAL AVIATION ACADEMY,REPUBLIC OF KOREA,AIR UNIVERSE,Universal Aviation Academy
AUG,GEORGIAN AVIATION UNIVERSITY,GEORGIA,GEO UNIVERSITY,Georgian Aviation University
AUH,PRESIDENTIAL FLIGHT,UNITED ARAB EMIRATES,SULTAN,Presidential Flight
AUI,UKRAINE INTERNATIONAL AIRLINES,UKRAINE,UKRAINE INTERNATIONAL,Ukraine International Airlines
AUK,AURIC AIR SERVICES LTD,UNITED REPUBLIC OF TANZANIA,AURIC SERVICES,Auric Air
AUL,"SMARTAVIA AIRLINES, JOINT STOCK COMPANY",RUSSIAN FEDERATION,ARCHANGELSK AIR,Smartavia
AUN,COMMON SKY A & N LUFTFAHRT GMBH,AUSTRIA,COMMON SKY,Common Sky
AUP,AVIA BUSINESS GROUP,RUSSIAN FEDERATION,,Avia Business Group
AUR,AURIGNY AIR SERVICES LTD.,UNITED KINGDOM,AYLINE,Aurigny
AUT,CIELOS DEL SUR S.A. - AUSTRAL,ARGENTINA,AUSTRAL,Austral Lineas Aereas
AUU,AURORA FLIGHT SCIENCES,UNITED STATES,ARGO,Aurora Flight Sciences
AUV,ASIA UNION AIRLINES JV LLC,UZBEKISTAN,ASIA UNION,Asia Union Airlines
AUX,AIR UGANDA INTERNATIONAL LTD,UGANDA,,Air Uganda
AVA,AEROVIAS DEL CONTINENTE AMERICANO S.A.,COLOMBIA,AVIANCA,Avianca
AVB,AVIATION BEAUPORT LTD.,UNITED KINGDOM,BEAUPAIR,Aviation Beauport
AVC,AVIOOTRIAD VARNA LTD,BULGARIA,AIRTEAM VARNA,Aviootriad Varna
AVD,ALAMO AVIACION S.L.,SPAIN,ALAMO,Alamo Aviacion
AVE,AVEX AIR TRANSPORT (PTY) LTD T/A AVEX AIR,SOUTH AFRICA,AVEX AIR,Avex Air Transport
AVF,"AVES FLIGHT SHARE, S.A. DE C.V.",MEXICO,AVES FLIGHT,Aves Flight Share
AVH,AV8 HELICOPTERS LTD,UNITED KINGDOM,KENT HELI,AV8 Helicopters UK
AVI,"AVIACION AGRICOLA DE LEVANTE, S.A.",SPAIN,,Aviacion Agricola De Levante
AVJ,AVIA TRAFFIC COMPANY,KYRGYZSTAN,ATOMIC,Avia Traffic
AVK,AV8 HELICOPTERS,SOUTH AFRICA,AVIATE-COPTER,AV8 Helicopters
AVL,"AVIATION ADVENTURES (MANASSAS, VA)",UNITED STATES,SKY VENTURES,Aviation Adventures
AVM,"AVEMEX, S.A. DE C.V.",MEXICO,AVEMEX,Avemex
AVN,AIR VANUATU,VANUATU,AIR VAN,Air Vanuatu
AVO,AVIATION AT WORK PTY LTD,SOUTH AFRICA,AVIATION WORK,Aviation at Work
AVP,"AVIACION CORPORATIVA DE PUEBLA, S.A. DE C.V.",MEXICO,AVIA PUEBLA,Aviacion Corporativa de Puebla
AVQ,AVIC - INTERNATIONAL FLIGHT TRAINING ACADEMY (AIFA),SOUTH AFRICA,AVIC,Avic International Flight Training Academy
AVR,REGIONAL EXPRESS AMERICAS SAS - AVIANCA EXPRESS,COLOMBIA,AVAEXPRESS,Avianca Express
AVS,"AVIALSA T-35, S.L.",SPAIN,AVIALSA,Avialsa T-35
AVT,AVIATRADE BUSINESS,CAMEROON,,Aviatrade Business
AVU,"AVISPAIR, S.L.",SPAIN,,Avispair
AVV,AVIATOR AVIATION,EGYPT,WING MAN,Aviator Aviation
AVW,AVIRO AIR,ROMANIA,AVIRO,Aviro Air
AVX,AEROCLUB DE VITORIA,SPAIN,,Aeroclub de Vitoria
AVY,"AEROVARADERO, S.A.",CUBA,AEROVARADERO,Aerovaradero
AVZ,"AIR VALENCIA, S.L.",SPAIN,AIR VALENCIA,Air Valencia
AWA,ASTRA AIRWAYS LIMITED (TRADEMARK 'AIR ASTRA'),BANGLADESH,CAPELLA,Air Astra
AWC,TITAN AIRWAYS LTD,UNITED KINGDOM,ZAP,Titan Airways
AWD,PROVIDENCE AVIATION SERVICES (PVT) LIMITED,PAKISTAN,,Providence Aviation Services
AWF,"AEROFORWARD, LLC (LAS VEGAS, NV)",UNITED STATES,,Aeroforward
AWG,ANIMA WINGS AVIATION S.A.,ROMANIA,ANIMA WINGS,Animawings
AWH,AEROWEST GMBH,GERMANY,AEROWEST,Aerowest
AWI,"AIR WISCONSIN AIRLINES CORPORATION (APPLETON, WI)",UNITED STATES,WISCONSIN,Air Wisconsin
AWJ,SAHEL AIRLINES,NIGER,SAHEL AIRLINES,Sahel Airlines
AWK,AIRWORK HOLDINGS LIMITED,NEW ZEALAND,AIRWORK,Airwork
AWM,ASIAN WINGS AIRWAYS LTD,MYANMAR,ASIAN STAR,Asian Wings Airways
AWN,AIR NIAMEY S.A.,NIGER,AIR NIAMEY,Air Niamey
AWP,AEROWORLD PAKISTAN PRIVATE LTD,PAKISTAN,,Aeroworld Pakistan
AWQ,"INDONESIA AIRASIA, PT.",INDONESIA,WAGON AIR,Indonesia AirAsia
AWS,ARAB WINGS COMPANY,JORDAN,ARAB WINGS,Arab Wings
AWT,ALBAWINGS,ALBANIA,ALBAWINGS,Albawings
AWU,"SYLT AIR GMBH, SYLT-OST",GERMANY,SYLT AIR,Sylt Air
AWW,AWA AIRWAYS,IRAN (ISLAMIC REPUBLIC OF),AWA,Awa Airways
AWX,CAA DIRECTORATE OF AIRSPACE POLICY (IFP),UNITED KINGDOM,ALLWEATHER,Civil Aviation Authority Directorate of Airspace Policy
AWY,AIRWAYS AVIATION ACADEMY LTD,UNITED KINGDOM,RED KITE,Airways Aviation Academy
AWZ,AIRWEST,SUDAN,,AirWest
AXA,RP AIRCRAFT MANAGEMENT GMBH,AUSTRIA,AMIRA,RP Aircraft Management
AXB,AIR INDIA EXPRESS,INDIA,EXPRESS INDIA,Air India Express
AXC,INDOCHINA AIRLINES JOINT STOCK COMPANY,VIET NAM,AIRSPUP,Indochina Airlines
AXD,AIR EXPRESS,SUDAN,AIR SUDEX,Air Express
AXE,"AIREXPLORE, S.R.O.",SLOVAKIA,GALILEO,AirExplore
AXG,AIR X CHARTER GERMANY GMBH,GERMANY,FORTUNE,Air X Charter Germany
AXH,"SERVICIOS AEREOS A&H, C.A.",VENEZUELA,SERVAY,Servicios Aereos A&H
AXJ,ALEXJETS SAN MARINO S.R.L,SAN MARINO,ALEX JET,Falcon Luxe
AXK,AFRICAN EXPRESS AIRWAYS,KENYA,EXPRESS JET,African Express Airways
AXL,ANGUILLA AIR SERVICES LTD,UNITED KINGDOM,ANGUILLA,Anguilla Air Services
AXM,AIRASIA SDN BHD,MALAYSIA,RED CAP,AirAsia
AXN,ASCEND AIRWAYS MALAYSIA,MALAYSIA,ASTRA,Ascend Airways Malaysia
AXO,FENIX AIR CHARTER,UNITED STATES,AXIO,Fenix Air Charter
AXP,"AEROMAX, S.L.",SPAIN,AEROMAX SPAIN,Aeromax
AXQ,ACTION AIRLINES (ACTION AIR CHARTER),UNITED STATES,ACTION AIR,Action Airlines
AXS,AXIS AVIATION SAN MARINO S.R.L.,SAN MARINO,AXIS,Axis Aviation San Marino
AXT,"AX TRANSPORTER, S.A. DE C.V.",MEXICO,AXTRANSPORTER,AX Transporter
AXV,AVA AIRLINES,IRAN (ISLAMIC REPUBLIC OF),AVA,AVA Airlines
AXY,AIR X CHARTER,MALTA,LEGEND,Air X Charter
AYA,"FEDERAL AVIATION ADMINISTRATION (FAA) ACADEMY (OKLAHOMA CITY, OK)",UNITED STATES,ACADEMY AIR,Federal Aviation Administration Academy
AYC,AYA AVIATION,ISRAEL,,Aya Aviation
AYE,"YUNNAN YINGAN AIRLINES CO., LTD",CHINA,AIR YING AN,Yunnan Yingan Airlines
AYH,AVIOANDES S.A.,ECUADOR,ANDES,Avioandes
AYJ,ZEMAN NEXTGEN,GERMANY,ALLEY JET,Zeman Nextgen
AYL,ALPINE AIR PRIVATE LIMITED,NEPAL,ALPINE NEPAL,Alpine Air Private Limited
AYM,"AIRMAN, S.L.",SPAIN,AIRMAN,Airman
AYN,FLYARYSTAN,KAZAKHSTAN,ARYSTAN,FlyArystan
AYR,FLIGHT TRAINING EUROPE S.L.,SPAIN,CYGNET,Flight Training Europe
AYT,AYIT AVIATION & TOURISM,ISRAEL,AYIT,Ayit Aviation
AYU,"YUHI AIR LINES CO., LTD",JAPAN,,Yuhi Air Lines
AYV,"AIRWAYS SERVICES & SUPPORT AS&S, C.A.",VENEZUELA,CARGWAY,Airways Services & Support As&s
AZA,ALITALIA SOCIETA AEREA ITALIANA S.P.A.,ITALY,ALITALIA,Alitalia Societa Aerea Italiana
AZB,ZAMBIA AIRWAYS (2014) LIMITED,ZAMBIA,AIR ZAMBIA,Zambia Airways
AZD,ZIMEX AVIATION AUSTRIA,AUSTRIA,MAILMAN,Zimex Aviation Austria
AZE,"ARCUS AIR GMBH & CO. KG, ZWEIBRUECKEN",GERMANY,ARCUS AIR,Arcus-Air
AZF,AIR ZERMATT AG,SWITZERLAND,AIR ZERMATT,Air Zermatt AG
AZG,SILK WAY WEST AIRLINES,AZERBAIJAN,SILK WEST,Silk Way West Airlines
AZH,SW HELICOPTER SERVICES,AZERBAIJAN,HELIAZE,ASG Helicopter Services
AZI,ASTRA AIRLINES,GREECE,GREEK STAR,Astra Airlines
AZJ,ZAS AIR,EGYPT,,Zas Air
AZM,AZMAN AIR SERVICES LTD.,NIGERIA,AZMAN AIR,Azman Air
AZN,AMASZONAS S.A.,BOLIVIA,AMAZONAS,Amaszonas
AZO,JSC AZIMUTH AIRLINES,RUSSIAN FEDERATION,AZIMUTH-DON,Azimuth
AZP,COMPANIA DE AVIACION PARAGUAYA S.A.,PARAGUAY,GUARANI,Paranair
AZQ,SILK WAY AIRLINES,AZERBAIJAN,SILK LINE,Silk Way Airlines
AZR,ZENITH AIR CC,SOUTH AFRICA,ZENAIR,Zenith Air
AZS,AVIACON ZITOTRANS,RUSSIAN FEDERATION,ZITOTRANS,Aviacon Zitotrans
AZT,"AZIMUT, S.A.",SPAIN,AZIMUT,Azimut
AZU,AZUL LINHAS AEREAS BRASILEIRAS S/A,BRAZIL,AZUL,Azul Brazilian Airlines
AZV,AZUR AIR,RUSSIAN FEDERATION,AZUR AIR,Azur Air
AZW,AIR ZIMBABWE,ZIMBABWE,AIR ZIMBABWE,Air Zimbabwe
AZX,AIR MAX AFRICA,GABON,AZIMA,Air Max Africa
AZY,"AZTEC WORLDWIDE AIRLINES, INC. (FT. LAUDERDALE, FL)",UNITED STATES,AZTEC WORLD,Aztec Airways
AZZ,AZZA TRANSPORT CO. LTD,SUDAN,AZZA TRANSPORT,Azza Transport
BAA,BALKAN AGRO AVIATION,BULGARIA,BALKAN AGRO,Balkan Agro Aviation
BAB,BAHRAIN AIR,BAHRAIN,BAHRAIN AIR,Bahrain Air
BAC,"EAST AERO SERVICE, LLC",RUSSIAN FEDERATION,,East Aero Service
BAD,"FLIGHT DEVELOPMENT, LLC (WATKINS, CO)",UNITED STATES,BADLANDS,Flight Development
BAF,BELGIAN AIR FORCE,BELGIUM,BELGIAN AIRFORCE,Belgian Air Force
BAG,BIRDBASE AVIATION GMBH,AUSTRIA,BIRDBASE,Birdbase Aviation
BAH,BAHRAIN ROYAL FLIGHT (BAH),BAHRAIN,BAHRAIN,Bahrain Royal Flight
BAI,"PUEBLO BONITO AIR, S.A. DE C.V.",MEXICO,BONITO AIR,Pueblo Bonito Air
BAJ,"BAKER AVIATION, INC. (KOTZEBUE, AK)",UNITED STATES,BAKER AVIATION,Baker Aviation
BAK,"BLACKHAWK AIRWAYS, INC. (JANESVILLE, WI)",UNITED STATES,BLACKHAWK,Blackhawk Airways
BAL,BALMORAL CENTRAL CONTRACTS,SOUTH AFRICA,BALMORAL,Balmoral Central Contracts
BAN,BRITISH ANTARCTIC SURVEY,UNITED KINGDOM,PENGUIN,British Antarctic Survey
BAO,"BADEN AIRCRAFT OPERATION GMBH, RHEINMUENSTER",GERMANY,AVANGARD,Baden Aircraft Operations
BAP,TRANS INTERNATIONAL EXPRESS AVIATION,UNITED STATES,BIG APPLE,Trans International Express Aviation
BAQ,BALTIC JET CARGO,LATVIA,LAT CARGO,Baltic Jet Cargo
BAR,ABU DHABI AVIATION,UNITED ARAB EMIRATES,BARAKAH,Abu Dhabi Aviation
BAS,AERO SERVICES,BARBADOS,AEROSERV,Aero Services
BAT,BRITISH AIRWAYS (BA) LTD,UNITED KINGDOM,GHERKIN,British Airways
BAV,BAMBOO AIRWAYS,VIET NAM,BAMBOO,Bamboo Airways
BAW,BRITISH AIRWAYS,UNITED KINGDOM,SPEEDBIRD,British Airways
BAX,BEST AERO HANDLING LTD,RUSSIAN FEDERATION,,Best Aero Handling
BAY,BRAVO AIRWAYS,UKRAINE,,Bravo Airways
BBA,BOMBARDIER INC.,CANADA,BOMBARDIER,Bombardier
BBB,BLACKBIRD AIR A/S,DENMARK,BLACKBIRD,Blackbird Air
BBC,BANGLADESH BIMAN,BANGLADESH,BANGLADESH,Biman Bangladesh Airlines
BBE,ABABEEL AVIATION CO. LTD,SUDAN,BABEL AIR,Ababeel Aviation
BBG,BLUE BIRD AIRWAYS,GREECE,CANDIA BIRD,Bluebird Airways
BBI,X2 AIR LIMITED,NIGERIA,SKY NET,X2 Air Limited
BBJ,BLUE AIR LINES,REPUBLIC OF KOREA,BLUE KOREA,Blue Air Lines
BBK,B&K AERO KZ LLP,KAZAKHSTAN,BABAK,Sunkar Air
BBL,BBN AIRLINES INDONESIA,INDONESIA,IRON BIRD,BBN Airlines Indonesia
BBN,CAA AIRWORTHINESS DIVISION,UNITED KINGDOM,BRABAZON,Civil Aviation Authority Airworthiness Division
BBO,HELISUL,PORTUGAL,BABCOCK,Helisul
BBQ,"EASTERN AIR EXPRESS, LLC",UNITED STATES,EASTERN EXPRESS,Eastern Air Express
BBR,"SANTA BARBARA AIRLINES, C.A.",VENEZUELA,SANTA BARBARA,Santa Barbara Airlines
BBT,BBN AIRLINES,TURKEY,BIG BLUE,BBN Airlines
BBW,BB AIRWAYS PVT. LIMITED,NEPAL,BEEBEE AIRWAYS,BB Airways
BBX,BEL AIR AVIATION A/S,DENMARK,BLUEBEL,Bel Air Aviation
BBY,BLUE BIRD AVIATION,YEMEN,YEMEN BLUE,Blue Bird Aviation
BBZ,BLUE BIRD AVIATION LTD,KENYA,COBRA,Bluebird Aviation
BCA,"BLUE SKY AVIATION CO., LTD",MONGOLIA,BLUE SKY MONGOLIA,Blue Sky Aviation
BCB,CARIB EXPRESS,BARBADOS,WAVEBIRD,Carib Express
BCF,B.A.C.H. FLUGBETRIEBSGES.M.B.H.,AUSTRIA,BACH,BACH Flugbetriebsges
BCG,MANAGEMENT UNIT OF NORTH SEA MATHEMATICAL MODELS (RBINS-MUMM),BELGIUM,BELGIAN COASTGUARD,Management Unit of North Sea Mathematical Models
BCH,"PHILLIPS AIR (DEL RIO, TX)",UNITED STATES,BEACHBALL,Phillips Air
BCI,BLUE ISLANDS,UNITED KINGDOM,BLUE ISLAND,Blue Islands
BCJ,BLUE JET CHARTERS SP. Z.O.O.,POLAND,BLUE BOY,Blue Jet Charters
BCK,"PRIORITY AVIATION COMPANY, INC (KANSAS CITY, MO)",UNITED STATES,BANKCHECK,Priority Aviation Company
BCN,OCEAN AIR,MAURITANIA,BLUE OCEAN,Ocean Air
